onset	duration	trial_type	value	sample
0.005	0	eyes_closed	65	1
4.32	0	discontinuity	2	864
170.665	0	LLAMANDO	49	34133
481.26	0	eyes_open	66	96252
489.525	0	eyes_closed	65	97905
498.815	0	eyes_open	66	99763
507.97	0	eyes_closed	65	101594
516.545	0	eyes_open	66	103309
525.865	0	eyes_closed	65	105173
536.16	0	eyes_open	66	107232
545.12	0	eyes_closed	65	109024
554.08	0	eyes_open	66	110816
562.705	0	eyes_closed	65	112541
571.445	0	eyes_open	66	114289
579.845	0	eyes_closed	65	115969
588.67	0	eyes_open	66	117734
597.185	0	eyes_closed	65	119437
636.89	0	LLAMANDO	49	127378
660.625	0	LLAMANDO	49	132125
691.79	0	LLAMANDO	49	138358
