onset	duration	trial_type	value	sample
0.005	0	eyes_closed	65	1
6.545	0	discontinuity	2	1309
479.535	0	eyes_open	66	95907
488.495	0	eyes_closed	65	97699
497.65	0	eyes_open	66	99530
506.495	0	eyes_closed	65	101299
515.455	0	eyes_open	66	103091
524.695	0	eyes_closed	65	104939
533.57	0	eyes_open	66	106714
542.45	0	eyes_closed	65	108490
551.045	0	eyes_open	66	110209
561.73	0	eyes_closed	65	112346
572.64	0	eyes_open	66	114528
581.795	0	eyes_closed	65	116359
590.975	0	eyes_open	66	118195
600.075	0	eyes_closed	65	120015
609.065	0	eyes_open	66	121813
618.135	0	eyes_closed	65	123627
